ticker,company,sector,industry,float_shares,float_source
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,29123554.0,floatShares
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,59478111.0,floatShares
AAT,American Assets Trust,Real Estate,Diversified REITs,47520106.0,floatShares
ABCB,Ameris Bancorp,Financials,Regional Banks,58925646.0,floatShares
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,14573187.0,floatShares
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,56811779.0,floatShares
ABR,Arbor Realty Trust,Financials,Mortgage REITs,177412968.0,floatShares
ACA,"Arcosa, Inc.",Industrials,Construction & Engineering,47709229.0,floatShares
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,124447660.0,floatShares
ACHC,Acadia Healthcare,Health Care,Health Care Facilities,84945622.0,floatShares
ACIW,ACI Worldwide,Information Technology,Application Software,98955318.0,floatShares
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment,30447604.0,floatShares
ACMR,"ACM Research, Inc.",Information Technology,Semiconductor Materials & Equipment,59818212.0,floatShares
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,25320368.0,floatShares
ADAM,"Adamas Trust, Inc.",Real Estate,Mortgage REITs,83247557.0,floatShares
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,107355520.0,floatShares
ADIG,ADI Global Distribution,Information Technology,Electronic Equipment & Instruments,75751181.0,sharesOutstanding
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,214324221.0,floatShares
ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment,75200347.0,floatShares
ADT,ADT Inc.,Consumer Discretionary,Specialized Consumer Services,513803046.0,floatShares
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,17506688.0,floatShares
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail,150730537.0,floatShares
AESI,"Atlas Energy Solutions, Inc.",Energy,Oil & Gas Equipment & Services,85452359.0,floatShares
AGNT,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,99406762.0,floatShares
AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,40562940.0,floatShares
AGX,"Argan, Inc.",Industrials,Construction & Engineering,13221271.0,floatShares
AGYS,"Agilysys, Inc.",Information Technology,Application Software,26716660.0,floatShares
AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment,85131054.0,floatShares
AIN,Albany International Corp.,Industrials,Industrial Machinery & Supplies & Components,27853584.0,floatShares
AIR,AAR Corp.,Industrials,Aerospace & Defense,37963439.0,floatShares
