ticker,company,sector,industry,first_seen,n_snapshots
AAN,The Aaron's Company,Consumer Discretionary,Homefurnishing Retail,2021-06,3
AAOI,Applied Optoelectronics,Information Technology,Communications Equipment,2021-06,1
AAON,"AAON, Inc.",Industrials,Building Products,2021-06,3
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,2024-06,2
AAT,American Assets Trust,Real Estate,Diversified REITs,2021-06,5
AAWW,Atlas Air Worldwide Holdings,Industrials,Air Freight & Logistics,2021-06,2
ABCB,Ameris Bancorp,Financials,Regional Banks,2021-06,5
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,2021-06,5
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,2021-06,5
ABR,Arbor Realty Trust,Financials,Mortgage REITs,2023-06,3
ABTX,"Allegiance Bancshares, Inc.",Financials,Regional Banks,2021-06,2
ACA,"Arcosa, Inc.",Industrials,Industrial Machinery,2021-06,5
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,2025-06,1
ACIW,ACI Worldwide,Information Technology,Application Software,2024-06,2
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Equipment,2021-06,5
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,2025-06,1
ADC,Agree Realty Corp.,Real Estate,Retail REITs,2021-06,2
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,2023-06,3
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,2025-06,1
ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment,2025-06,1
ADTN,"Adtran, Inc.",Information Technology,Communications Equipment,2021-06,4
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,2021-06,5
AEIS,Advanced Energy,Information Technology,Semiconductor Equipment,2021-06,5
AEL,American Equity Investment Life Holding Co.,Financials,Life & Health Insurance,2021-06,3
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail,2023-06,3
AESI,"Atlas Energy Solutions, Inc.",Energy,Oil & Gas Equipment & Services,2025-06,1
