ticker,company,price,pct_change,volume,exchange
STKE,Sol Strategies Inc.,1.54,28.3333,1781780,NMS
SECZ,Securitize Corp.,13.5,24.3094,6841946,NYQ
VGZ,Vista Gold Corp,2.74,21.2389,7836157,ASE
FJET,"Starfighters Space, Inc.",1.97,20.122,3600040,ASE
NNVC,"NanoViricides, Inc.",1.69,19.0141,1680973,ASE
MX,Magnachip Semiconductor Corpora,3.2,16.3636,4425878,NYQ
YSS,York Space Systems Inc.,9.76,14.152,4602738,NYQ
XXI,"Twenty One Capital, Inc.",6.61,13.7694,3513293,NYQ
ARHS,"Arhaus, Inc.",8.73,12.0667,1736058,NMS
VNET,"VNET Group, Inc.",7.235,10.9663,10714670,NMS
TMC,TMC the metals company Inc.,4.14,9.52381,6513490,NMS
TV,Grupo Televisa S.A.B.,2.57,9.3617,1955072,NYQ
HUYA,HUYA Inc.,2.25,8.69565,1729907,NYQ
IMSR,Terrestrial Energy Inc.,4.5,8.17308,1448384,NMS
VYX,NCR Voyix Corporation,7.29,8.16024,4144396,NYQ
RDW,Redwire Corporation,11.6,8.00745,13932610,NYQ
SPCE,"Virgin Galactic Holdings, Inc.",3.31,7.81759,7784865,NYQ
ZH,Zhihu Inc.,3.45,7.47664,2121580,NYQ
MPT,"Medical Properties Trust, Inc.",3.65,7.35294,14169711,NYQ
XERS,"Xeris Biopharma Holdings, Inc.",8.8,7.31708,2442484,NMS
QXO,"QXO, Inc.",12.2,7.20562,22855250,NYQ
AMC,"AMC Entertainment Holdings, Inc",2.89,7.03704,54594834,NYQ
LION,Lionsgate Studios Corp,11.48,6.89013,4808253,NYQ
NEWP,New Pacific Metals Corp.,6.41,6.83333,1123277,ASE
SPRU,Spruce Power Holding Corporatio,2.04,6.80628,1323626,NYQ
BB,BlackBerry Limited,8.53,6.75845,14102732,NYQ
TE,T1 Energy Inc.,4.45,6.71462,16723818,NYQ
ADCT,ADC Therapeutics SA,1.12,6.66667,1898559,NYQ
MNRO,"Monro, Inc.",12.9,6.61156,1229034,NMS
SID,Companhia Siderurgica Nacional ,1.17,6.36363,4033795,NYQ
RXT,"Rackspace Technology, Inc.",4.04,6.31579,7811034,NMS
SMR,NuScale Power Corporation,8.79,6.28778,35327251,NYQ
BKKT,"Bakkt, Inc.",9.14,6.15564,2041193,NYQ
